"index_date";"mining_sector_credit_operations_(R$_millions)"
"01/01/2012";"18900"
"01/02/2012";"19060"
"01/03/2012";"20471"
"01/04/2012";"20897"
"01/05/2012";"21013"
"01/06/2012";"21183"
"01/07/2012";"21889"
"01/08/2012";"22203"
"01/09/2012";"24164"
"01/10/2012";"26888"
"01/11/2012";"25416"
"01/12/2012";"26072"
"01/01/2013";"25346"
"01/02/2013";"25670"
"01/03/2013";"25744"
"01/04/2013";"26625"
"01/05/2013";"27951"
"01/06/2013";"27433"
"01/07/2013";"27065"
"01/08/2013";"27625"
"01/09/2013";"27860"
"01/10/2013";"27520"
"01/11/2013";"28617"
"01/12/2013";"31303"
"01/01/2014";"31254"
"01/02/2014";"31590"
"01/03/2014";"31852"
"01/04/2014";"31902"
"01/05/2014";"31914"
"01/06/2014";"31761"
"01/07/2014";"31638"
"01/08/2014";"31928"
"01/09/2014";"32166"
"01/10/2014";"34180"
"01/11/2014";"33542"
"01/12/2014";"34893"
"01/01/2015";"37170"
"01/02/2015";"37465"
"01/03/2015";"38833"
"01/04/2015";"37955"
"01/05/2015";"38252"
"01/06/2015";"38315"
"01/07/2015";"38308"
"01/08/2015";"38951"
"01/09/2015";"39989"
"01/10/2015";"39814"
"01/11/2015";"40261"
"01/12/2015";"42082"
"01/01/2016";"42509"
"01/02/2016";"42310"
"01/03/2016";"41689"
"01/04/2016";"41254"
"01/05/2016";"40773"
"01/06/2016";"38171"
"01/07/2016";"38235"
"01/08/2016";"38432"
"01/09/2016";"35283"
"01/10/2016";"32295"
"01/11/2016";"30537"
"01/12/2016";"31111"
"01/01/2017";"30268"
"01/02/2017";"30262"
"01/03/2017";"30165"
"01/04/2017";"29876"
"01/05/2017";"28618"
"01/06/2017";"28999"
"01/07/2017";"28944"
"01/08/2017";"28021"
"01/09/2017";"28187"
"01/10/2017";"28000"
"01/11/2017";"27585"
"01/12/2017";"22343"
"01/01/2018";"20941"
"01/02/2018";"20409"
"01/03/2018";"20443"
"01/04/2018";"19598"
"01/05/2018";"19729"
"01/06/2018";"19427"
"01/07/2018";"18503"
"01/08/2018";"18810"
"01/09/2018";"18683"
"01/10/2018";"18056"
"01/11/2018";"18403"
"01/12/2018";"17887"
"01/01/2019";"18310"
"01/02/2019";"21222"
"01/03/2019";"22254"
"01/04/2019";"21691"
"01/05/2019";"21258"
"01/06/2019";"17647"
"01/07/2019";"16551"
"01/08/2019";"16517"
"01/09/2019";"16587"
"01/10/2019";"16727"
"01/11/2019";"17133"
"01/12/2019";"15413"
"01/01/2020";"15060"
"01/02/2020";"14810"
"01/03/2020";"15800"
"01/04/2020";"15277"
"01/05/2020";"15536"
"01/06/2020";"15909"
"01/07/2020";"14799"
"01/08/2020";"15235"
"01/09/2020";"15392"
"01/10/2020";"15587"
"01/11/2020";"15761"
"01/12/2020";"16795"
"01/01/2021";"16383"
"01/02/2021";"15595"
"01/03/2021";"15469"
"01/04/2021";"15302"
"01/05/2021";"15021"
"01/06/2021";"16263"
"01/07/2021";"16435"
"01/08/2021";"16151"
"01/09/2021";"16082"
"01/10/2021";"15732"
