index_date,mining_sector_credit_operations_(R$_millions)
2012-02-01,160.0
2012-03-01,1411.0
2012-04-01,426.0
2012-05-01,116.0
2012-06-01,170.0
2012-07-01,706.0
2012-08-01,314.0
2012-09-01,1961.0
2012-10-01,2724.0
2012-11-01,-1472.0
2012-12-01,656.0
2013-01-01,-726.0
2013-02-01,324.0
2013-03-01,74.0
2013-04-01,881.0
2013-05-01,1326.0
2013-06-01,-518.0
2013-07-01,-368.0
2013-08-01,560.0
2013-09-01,235.0
2013-10-01,-340.0
2013-11-01,1097.0
2013-12-01,2686.0
2014-01-01,-49.0
2014-02-01,336.0
2014-03-01,262.0
2014-04-01,50.0
2014-05-01,12.0
2014-06-01,-153.0
2014-07-01,-123.0
2014-08-01,290.0
2014-09-01,238.0
2014-10-01,2014.0
2014-11-01,-638.0
2014-12-01,1351.0
2015-01-01,2277.0
2015-02-01,295.0
2015-03-01,1368.0
2015-04-01,-878.0
2015-05-01,297.0
2015-06-01,63.0
2015-07-01,-7.0
2015-08-01,643.0
2015-09-01,1038.0
2015-10-01,-175.0
2015-11-01,447.0
2015-12-01,1821.0
2016-01-01,427.0
2016-02-01,-199.0
2016-03-01,-621.0
2016-04-01,-435.0
2016-05-01,-481.0
2016-06-01,-2602.0
2016-07-01,64.0
2016-08-01,197.0
2016-09-01,-3149.0
2016-10-01,-2988.0
2016-11-01,-1758.0
2016-12-01,574.0
2017-01-01,-843.0
2017-02-01,-6.0
2017-03-01,-97.0
2017-04-01,-289.0
2017-05-01,-1258.0
2017-06-01,381.0
2017-07-01,-55.0
2017-08-01,-923.0
2017-09-01,166.0
2017-10-01,-187.0
2017-11-01,-415.0
2017-12-01,-5242.0
2018-01-01,-1402.0
2018-02-01,-532.0
2018-03-01,34.0
2018-04-01,-845.0
2018-05-01,131.0
2018-06-01,-302.0
2018-07-01,-924.0
2018-08-01,307.0
2018-09-01,-127.0
2018-10-01,-627.0
2018-11-01,347.0
2018-12-01,-516.0
2019-01-01,423.0
2019-02-01,2912.0
2019-03-01,1032.0
2019-04-01,-563.0
2019-05-01,-433.0
2019-06-01,-3611.0
2019-07-01,-1096.0
2019-08-01,-34.0
2019-09-01,70.0
2019-10-01,140.0
2019-11-01,406.0
2019-12-01,-1720.0
2020-01-01,-353.0
2020-02-01,-250.0
2020-03-01,990.0
2020-04-01,-523.0
2020-05-01,259.0
2020-06-01,373.0
2020-07-01,-1110.0
2020-08-01,436.0
2020-09-01,157.0
2020-10-01,195.0
2020-11-01,174.0
2020-12-01,1034.0
2021-01-01,-412.0
2021-02-01,-788.0
2021-03-01,-126.0
2021-04-01,-167.0
2021-05-01,-281.0
2021-06-01,1242.0
2021-07-01,172.0
2021-08-01,-284.0
2021-09-01,-69.0
